entry_time,entry_price,exit_time,exit_price,action,position_size,pnl,pnl_percent,exit_reason,capital_after
2025-05-28 12:00:00,107781.78,2025-05-29 12:00:00,105626.14439999999,LONG,0.09278005985798342,-200.0000000000008,-2.000000000000008,止损,799.9999999999992
2025-06-07 00:00:00,105150.01,2025-06-09 00:00:00,107253.01019999999,SHORT,0.07608178068646872,-159.99999999999946,-1.9999999999999951,止损,639.9999999999998
2025-06-08 00:00:00,105686.71,2025-06-09 12:00:00,107800.44420000001,SHORT,0.06055633674281277,-128.00000000000034,-2.0000000000000058,止损,511.99999999999943
2025-06-24 12:00:00,106083.0,2025-06-29 00:00:00,108204.66,SHORT,0.04826409509534982,-102.40000000000006,-2.0000000000000036,止损,409.59999999999934
2025-06-25 00:00:00,107198.02,2025-07-03 00:00:00,109341.9804,SHORT,0.03820966096202144,-81.91999999999973,-1.9999999999999967,止损,327.6799999999996
2025-07-22 00:00:00,119154.99,2025-08-01 00:00:00,116771.89020000001,SHORT,0.027500317024070884,64.88063999999981,1.9799999999999967,止盈TP1,392.5606399999994
2025-07-22 12:00:00,119954.42,2025-08-01 00:00:00,117555.33159999999,SHORT,0.032725817022832455,77.72700672000013,1.9800000000000064,止盈TP1,470.28764671999954
2025-07-25 00:00:00,116543.58,2025-08-01 12:00:00,114212.7084,LONG,0.04035294322690272,-31.979559976959944,-0.6799999999999995,止损,438.3080867430396
2025-07-27 12:00:00,119415.55,2025-08-01 12:00:00,117027.239,SHORT,0.03670443981064774,86.78500117512189,1.9800000000000013,止盈TP1,525.0930879181615
2025-07-28 12:00:00,118062.32,2025-08-01 00:00:00,115701.0736,LONG,0.04447592491136558,-105.01861758363246,-2.000000000000003,止损,420.074470334529
2025-07-29 12:00:00,117950.76,2025-08-01 00:00:00,115591.74479999999,LONG,0.03561439284787389,-84.01489406690611,-2.000000000000007,止损,336.0595762676229
2025-07-30 00:00:00,117579.99,2025-08-01 12:00:00,115228.39020000001,LONG,0.028581357786101436,-67.21191525352447,-1.9999999999999967,止损,268.84766101409843
2025-07-30 12:00:00,117840.3,2025-08-01 00:00:00,115483.494,LONG,0.022814577102578525,-53.76953220281961,-1.9999999999999973,止损,215.07812881127882
2025-07-31 00:00:00,118371.25,2025-08-01 12:00:00,116003.825,SHORT,0.018169794507642594,42.58546950463327,1.9800000000000026,止盈TP1,257.66359831591205
2025-08-07 12:00:00,117472.01,2025-08-11 00:00:00,119821.45019999999,SHORT,0.021934041846726902,-51.53271966318236,-1.999999999999998,止损,206.13087865272968
2025-09-04 00:00:00,110810.0,2025-09-11 12:00:00,113026.2,LONG,0.018602191016400118,40.81391397324043,1.9799999999999978,止盈TP1,246.9447926259701
2025-09-29 12:00:00,114311.96,2025-10-01 00:00:00,116598.1992,SHORT,0.02160270829281294,-49.38895852519394,-1.999999999999997,止损,197.55583410077617
2025-10-23 12:00:00,110078.18,2025-10-26 00:00:00,112279.7436,SHORT,0.01794686595479469,-39.51116682015539,-2.0000000000000075,止损,158.04466728062079
2025-10-24 00:00:00,111066.29,2025-10-26 12:00:00,113287.6158,SHORT,0.014229760198222233,-31.608933456124245,-2.0000000000000053,止损,126.43573382449654
